hs_code,cpi_category
28352200,Apparel
28352400,Apparel
28352500,Apparel
28352600,Apparel
28352910,Apparel
28352920,Apparel
28352930,Apparel
28352951,Apparel
28353100,Apparel
28353910,Apparel
28353950,Apparel
28362000,Transportation
28363000,Transportation
28364010,Transportation
28364020,Transportation
28365000,Transportation
28366000,Transportation
28369100,Transportation
28369200,Transportation
28369910,Transportation
28369920,Transportation
28369930,Transportation
28369940,Transportation
28369950,Transportation
28371100,Other
28371901,Other
28372010,Other
28372051,Other
28391100,Other
28391900,Other
28399010,Other
28399050,Commodities Services Special
28401100,Other
28401900,Other
28402000,Other
28403000,Other
28413000,Other
28415010,Other
28415091,Commodities Services Special
28416100,Other
28416900,Other
28417010,Other
28417050,Other
28418000,Other
28419010,Other
28419020,Other
28419030,Other
28419040,Other
28419045,Commodities Services Special
28419050,Commodities Services Special
28421000,Other
28429010,Other
28429090,Medical
28431000,Commodities Services Special
28432100,Other
28432901,Other
28433000,Other
28439000,Medical
28441010,Commodities Services Special
28441020,Other
28441050,Other
28442000,Other
28443010,Other
28443020,Other
28443050,Other
28444100,Other
28444200,Commodities Services Special
28444300,Other
28444400,Other
28445000,Transportation
28451000,Other
28452000,Other
28453000,Other
28454000,Other
28459001,Other
28461000,Other
28469020,Other
28469040,Other
28469080,Medical
28470000,Other
28491000,Transportation
28492010,Transportation
28492020,Food
28499010,Transportation
28499020,Transportation
28499030,Transportation
28499050,Transportation
28500005,Other
28500007,Other
28500010,Other
28500020,Other
28500050,Other
28521010,Other
28521090,Other
28529005,Other
28529090,Medical
28531000,Other
28539010,Commodities Services Special
28539050,Commodities Services Special
28539090,Other
29011010,Other
29011030,Other
29011040,Transportation
29011050,Transportation
29012100,Other
29012200,Other
29012300,Other
29012410,Other
29012420,Other
29012450,Other
29012910,Transportation
29012950,Transportation
29021100,Other
29021900,Transportation
29022000,Other
29023000,Other
29024100,Other
29024200,Other
29024300,Other
29024400,Other
29025000,Other
29026000,Other
29027000,Other
29029010,Other
29029020,Transportation
29029030,Other
29029040,Other
29029060,Other
29029090,Transportation
29031100,Other
29031200,Other
29031300,Other
29031400,Transportation
29031500,Other
29031905,Other
29031910,Other
29031930,Other
29031960,Transportation
29032100,Other
29032200,Other
29032300,Other
29032900,Transportation
29034110,Other
29034210,Other
29034310,Other
29034410,Other
29034510,Other
29034610,Other
29034710,Other
29034800,Other
29034900,Transportation
29035110,Other
29035910,Other
29035990,Transportation
29036100,Other
29036210,Other
29036910,Other
29036990,Transportation
29037101,Other
29037201,Other
29037301,Other
29037401,Other
29037501,Other
29037601,Other
29037700,Transportation
29037800,Transportation
29037910,Other
29037990,Transportation
29038100,Other
29038200,Other
29038300,Transportation
29038905,Other
29038911,Transportation
29038915,Transportation
29038920,Transportation
29038931,Transportation
29038940,Other
29038960,Other
29038970,Transportation
29039110,Other
29039120,Other
29039130,Other
29039200,Other
29039300,Transportation
29039400,Transportation
29039905,Transportation
29039908,Other
29039910,Other
29039915,Other
29039920,Other
29039923,Other
29039927,Other
29039930,Transportation
29039980,Transportation
29041004,Other
29041008,Other
29041010,Other
29041015,Other
29041032,Transportation
29041037,Transportation
29041050,Transportation
29042010,Other
29042015,Other
29042020,Other
29042030,Other
29042035,Other
29042040,Transportation
29042045,Transportation
29042050,Transportation
29043100,Other
29043200,Other
29043300,Other
29043400,Other
29043500,Other
29043600,Other
29049100,Other
29049904,Other
29049908,Other
29049915,Other
29049920,Other
29049930,Other
29049935,Other
29049940,Other
29049947,Transportation
29049950,Transportation
29051110,Transportation
29051120,Transportation
29051200,Other
29051300,Other
29051410,Other
29051450,Other
29051600,Other
29051700,Food
29051910,Other
29051990,Other
29052210,Other
29052220,Other
29052250,Other
29052910,Other
29052990,Other
29053100,Other
29053200,Other
29053910,Other
29053920,Other
29053960,Other
29053990,Other
29054100,Other
29054200,Other
29054300,Other
29054400,Other
29054500,Other
29054910,Other
29054920,Other
29054930,Other
29054940,Food
29054950,Other
29055100,Other
29055910,Other
29055930,Other
29055990,Other
29061100,Other
29061200,Other
29061310,Other
29061350,Other
29061910,Other
29061930,Other
